Case,Scenario,Variable,TerminalYear,TerminalValue
01_etaQA2_low,Baseline,Y_1,2050,719.664829492107
02_etaQA2_high,Baseline,Y_1,2050,719.664829492343
01_etaQA2_low,Baseline,E_1,2050,25
02_etaQA2_high,Baseline,E_1,2050,25
01_etaQA2_low,Baseline,Q_2_1,2050,76.718642489549
02_etaQA2_high,Baseline,Q_2_1,2050,76.718642489549
01_etaQA2_low,Baseline,Q_3_1,2050,7110.29196410287
02_etaQA2_high,Baseline,Q_3_1,2050,1622.11703010181
01_etaQA2_low,NZ,Y_1,2050,694.962796185952
02_etaQA2_high,NZ,Y_1,2050,717.151385171713
01_etaQA2_low,NZ,E_1,2050,4.99999999776996
02_etaQA2_high,NZ,E_1,2050,4.99999999776996
01_etaQA2_low,NZ,Q_2_1,2050,15.3437284910663
02_etaQA2_high,NZ,Q_2_1,2050,15.3437284910663
01_etaQA2_low,NZ,Q_3_1,2050,10655.0891129825
02_etaQA2_high,NZ,Q_3_1,2050,2426.52506080282
01_etaQA2_low,NZ_minus_Baseline,Y_1,2050,-24.7020333061549
02_etaQA2_high,NZ_minus_Baseline,Y_1,2050,-2.51344432062933
01_etaQA2_low,NZ_minus_Baseline,E_1,2050,-20.00000000223
02_etaQA2_high,NZ_minus_Baseline,E_1,2050,-20.00000000223
01_etaQA2_low,NZ_minus_Baseline,Q_2_1,2050,-61.3749139984827
02_etaQA2_high,NZ_minus_Baseline,Q_2_1,2050,-61.3749139984827
01_etaQA2_low,NZ_minus_Baseline,Q_3_1,2050,3544.79714887967
02_etaQA2_high,NZ_minus_Baseline,Q_3_1,2050,804.408030701011
